Date,Chapter,Day,Exercises link
Mon 31 Oct,0 - Prerequisites,W0D1,https://arena-ldn-ch0.streamlit.app/W0D1_-_Fourier_Transforms
Tue 01 Nov,0 - Prerequisites,W0D2,"https://arena-ldn-ch0.streamlit.app/W0D2_-_as_strided,_convolutions_and_CNNs"
Wed 02 Nov,0 - Prerequisites,W0D3,https://arena-ldn-ch0.streamlit.app/W0D3_-_ResNets_and_fine-tuning
Thu 03 Nov,0 - Prerequisites,W0D4,https://arena-ldn-ch0.streamlit.app/W0D4_-_Weights_and_Biases
Fri 04 Nov,0 - Prerequisites,W0D5,https://arena-ldn-ch0.streamlit.app/W0D5_-_Build_Your_Own_Backprop_Framework
Sat 05 Nov,,,
Sun 06 Nov,,,
Mon 07 Nov,1 - Transformers,W1D1,https://arena-ldn-ch1.streamlit.app/W1D1_-_Transformer_Reading
Tue 08 Nov,1 - Transformers,W1D2,https://arena-ldn-ch1.streamlit.app/W1D2_-_Build_your_own_transformer_(1)
Wed 09 Nov,1 - Transformers,W1D3,https://arena-ldn-ch1.streamlit.app/W1D3_-_Build_your_own_transformer_(2)
Thu 10 Nov,1 - Transformers,W1D4,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Fri 11 Nov,1 - Transformers,W1D5,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Sat 12 Nov,,,
Sun 13 Nov,,,
Mon 14 Nov,1 - Transformers,W2D1,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Tue 15 Nov,1 - Transformers,W2D2,https://arena-ldn-ch1.streamlit.app/W1D4-5_-_Further_Investigations
Wed 16 Nov,2 - Training at Scale,W2D3,
Thu 17 Nov,2 - Training at Scale,W2D4,
Fri 18 Nov,2 - Training at Scale,W2D5,
Sat 19 Nov,,,
Sun 20 Nov,,,
Mon 21 Nov,2 - Training at Scale,W3D1,
Tue 22 Nov,2 - Training at Scale,W3D2,
Wed 23 Nov,3 - Optimisation,W3D3,
Thu 24 Nov,3 - Optimisation,W3D4,
Fri 25 Nov,4 - Modeling Objectives,W3D5,
Sat 26 Nov,,,
Sun 27 Nov,,,
Mon 28 Nov,4 - Modeling Objectives,W4D1,
Tue 29 Nov,4 - Modeling Objectives,W4D2,
Wed 30 Nov,4 - Modeling Objectives,W4D3,
Thu 01 Dec,5 - RL,W4D4,
Fri 02 Dec,5 - RL,W4D5,
Sat 03 Dec,,,
Sun 04 Dec,,,
Mon 05 Dec,5 - RL,W5D1,
Tue 06 Dec,5 - RL,W5D2,
Wed 07 Dec,5 - RL,W5D3,
Thu 08 Dec,5 - RL,W5D4,
Fri 09 Dec,5 - RL,W5D5,
Sat 10 Dec,,,
Sun 11 Dec,,,
Mon 12 Dec,6 - Scaling Laws,W6D1,
Tue 13 Dec,6 - Scaling Laws,W6D2,
Wed 14 Dec,6 - Scaling Laws,W6D3,
Thu 15 Dec,7 - Interpretability,W6D4,
Fri 16 Dec,7 - Interpretability,W6D5,
Sat 17 Dec,,,
Sun 18 Dec,,,
Mon 19 Dec,7 - Interpretability,W7D1,
Tue 20 Dec,7 - Interpretability,W7D2,
Wed 21 Dec,7 - Interpretability,W7D3,
Thu 22 Dec,7 - Interpretability,W7D4,
Fri 23 Dec,7 - Interpretability,W7D5,
Sat 24 Dec,,,
Sun 25 Dec,,,
Mon 26 Dec,,,
Tue 27 Dec,,,
Wed 28 Dec,,,
Thu 29 Dec,,,
Fri 30 Dec,,,
Sat 31 Dec,,,
Sun 01 Jan,,,
Mon 02 Jan,8 - Adversarial Training,W8D1,
Tue 03 Jan,8 - Adversarial Training,W8D2,
Wed 04 Jan,8 - Adversarial Training,W8D3,
Thu 05 Jan,9 - Capstone Projects,W8D4,
Fri 06 Jan,9 - Capstone Projects,W8D5,
Sat 07 Jan,,,
Sun 08 Jan,,,
Mon 09 Jan,9 - Capstone Projects,W9D1,
Tue 10 Jan,9 - Capstone Projects,W9D2,
Wed 11 Jan,9 - Capstone Projects,W9D3,
Thu 12 Jan,9 - Capstone Projects,W9D4,
Fri 14 Jan,9 - Capstone Projects,W9D5,
